"Date","Open","High","Low","Close","Volume"
#2018-01-01#,24849.63,24871.66,24719.22,24719.22,99506544
#2018-01-02#,24809.35,24864.19,24741.7,24824.01,93865624
#2018-01-03#,24850.45,24941.92,24825.55,24922.68,113225760
#2018-01-04#,24964.86,25105.96,24963.27,25075.13,101492432
#2018-01-05#,25114.92,25299.79,25112.01,25295.87,99171640
#2018-01-08#,25308.4,25311.99,25235.41,25283,97611920
#2018-01-09#,25312.05,25439.78,25308.41,25385.8,88521520
#2018-01-10#,25348.13,25404.92,25256.99,25369.13,88372752
#2018-01-11#,25398.6,25575.42,25396.19,25574.73,90362032
#2018-01-12#,25638.39,25810.43,25633.08,25803.19,103878720
#2018-01-15#,25638.39,25810.43,25633.08,25803.19,103878720
#2018-01-16#,25987.62,26086.12,25702.99,25792.86,171084224
#2018-01-17#,25910.78,26130.45,25865.02,26115.65,133700112
#2018-01-18#,26149.55,26153.42,25947.32,26017.81,122470760
#2018-01-19#,25987.35,26071.72,25942.83,26071.72,171541424
#2018-01-22#,26025.32,26215.23,25974.65,26214.6,126357768
#2018-01-23#,26214.87,26246.19,26143.9,26210.81,109272288
#2018-01-24#,26282.07,26392.8,26106.94,26252.12,123271104
#2018-01-25#,26313.06,26458.25,26259.72,26392.79,95732448
#2018-01-26#,26466.74,26616.71,26425.35,26616.71,123610888
#2018-01-29#,26584.28,26608.9,26435.34,26439.48,110919888
#2018-01-30#,26198.45,26256.99,26028.42,26076.89,111858544
#2018-01-31#,26268.17,26338.03,26050.98,26149.39,140120144
#2018-02-01#,26083.04,26306.7,26014.44,26186.71,111586352
#2018-02-02#,26061.79,26061.79,25490.66,25520.96,140879408
#2018-02-05#,25337.87,25520.53,23923.88,24345.75,210835440
#2018-02-06#,24085.17,24946.23,23778.74,24912.77,231378064
#2018-02-07#,24892.87,25293.96,24785.44,24893.35,146600464
#2018-02-08#,24902.3,24903.68,23849.23,23860.46,179770672
#2018-02-09#,23992.67,24382.14,23360.29,24190.9,198760880
#2018-02-12#,24337.76,24765.16,24290.48,24601.27,149693824
#2018-02-13#,24540.33,24705.72,24421.03,24640.45,99077712
#2018-02-14#,24535.82,24925.95,24490.36,24893.49,114401024
#2018-02-15#,25047.82,25203.95,24809.42,25200.37,110595640
#2018-02-16#,25165.94,25432.42,25149.26,25219.38,127026632
#2018-02-19#,25165.94,25432.42,25149.26,25219.38,127026632
#2018-02-20#,25124.91,25179.01,24884.19,24964.75,103980552
#2018-02-21#,24988.06,25267.99,24792.99,24797.78,124434712
#2018-02-22#,24855.41,25156.72,24854.83,24962.48,96386776
#2018-02-23#,25050.51,25313.91,25028.73,25309.99,91399808
#2018-02-26#,25403.35,25732.8,25398.56,25709.27,123397944
#2018-02-27#,25735.78,25800.35,25407.83,25410.03,119210208
#2018-02-28#,25485.15,25576.15,25022.42,25029.2,135541856
#2018-03-01#,25024.04,25185.35,24442.56,24608.98,135695648
#2018-03-02#,24394.91,24592.46,24217.76,24538.06,120190200
#2018-03-05#,24471.31,24961,24387.15,24874.76,105004560
#2018-03-06#,24965.89,24995.24,24708.41,24884.12,93405184
#2018-03-07#,24758.15,24849.68,24535.12,24801.36,102303384
#2018-03-08#,24853.41,24950.49,24703.05,24895.21,88859360
#2018-03-09#,25004.89,25336.33,25004.89,25335.74,102187552
#2018-03-12#,25372.44,25449.15,25152.02,25178.61,99533760
#2018-03-13#,25257.75,25376.4,24947.5,25007.03,110557296
#2018-03-14#,25086.97,25130.12,24668.83,24758.12,102684624
#2018-03-15#,24837.29,25053.87,24753.29,24873.66,90799352
#2018-03-16#,24877.34,25031,24857.09,24946.51,349358784
#2018-03-19#,24893.69,24893.69,24453.14,24610.91,115835472
#2018-03-20#,24650.64,24803.61,24650.64,24727.27,95064184
#2018-03-21#,24723.49,24977.65,24655.4,24682.31,97199392
#2018-03-22#,24526.01,24526.01,23938.74,23957.89,125220104
#2018-03-23#,23995.18,24108.47,23509.06,23533.2,140958256
#2018-03-26#,23825.74,24232.3,23741.22,24202.6,143721056
#2018-03-27#,24276.62,24446.22,23708.73,23857.71,143578704
#2018-03-28#,23883.08,24092.47,23728.67,23848.42,144373088
#2018-03-29#,23949.18,24314.3,23928.13,24103.11,164787520
#2018-03-30#,23949.18,24314.3,23928.13,24103.11,164787520
#2018-04-02#,24076.6,24123.8,23344.52,23644.19,154073104
#2018-04-03#,23698.33,24044.35,23664.33,24033.36,115989616
#2018-04-04#,23654.15,24308.96,23523.16,24264.3,113393504
#2018-04-05#,24313.91,24622.26,24313.91,24505.22,100243040
#2018-04-06#,24373.6,24434.4,23738.2,23932.76,116689928
#2018-04-09#,24037.52,24373.18,23954.83,23979.1,117444440
#2018-04-10#,24198.95,24511.35,24198.95,24408,109322408
#2018-04-11#,24274.19,24366.57,24150.87,24189.45,78547768
#2018-04-12#,24302.82,24592.12,24302.82,24483.05,94176160
#2018-04-13#,24582.82,24646.45,24243.74,24360.14,85816528
#2018-04-16#,24483.15,24675.36,24480.2,24573.04,85438152
#2018-04-17#,24681.79,24858.97,24681.79,24786.63,87230192
#2018-04-18#,24820.85,24832.54,24721.09,24748.07,77458056
#2018-04-19#,24711.3,24762.48,24557.03,24664.89,99210024
#2018-04-20#,24657.39,24678.07,24375.04,24462.94,160586400
#2018-04-23#,24488.07,24536.89,24328.54,24448.69,104568912
#2018-04-24#,24579.94,24579.94,23828.73,24024.13,122388408
#2018-04-25#,24070.2,24146.34,23823.08,24083.83,114897536
#2018-04-26#,24128.72,24402.46,24128.72,24322.34,108132504
#2018-04-27#,24342.14,24359.38,24194.45,24311.19,97712952
#2018-04-30#,24410.41,24498.23,24163.08,24163.15,127102088
#2018-05-01#,24117.29,24117.29,23808.19,24099.05,100003112
#2018-05-02#,24097.63,24185.52,23886.3,23924.98,105024720
#2018-05-03#,23836.23,23996.15,23531.31,23930.15,111518064
#2018-05-04#,23865.22,24333.35,23778.87,24262.51,93759520
#2018-05-07#,24317.66,24479.45,24263.42,24357.32,81314288
#2018-05-08#,24341.35,24412.34,24198.34,24360.21,94052520
#2018-05-09#,24399.18,24586.48,24323.87,24542.54,92973424
#2018-05-10#,24591.66,24794.99,24575.91,24739.53,81118512
#2018-05-11#,24758.64,24868.65,24717.5,24831.17,83038152
#2018-05-14#,24879.37,24994.19,24862.52,24899.41,80264608
#2018-05-15#,24809.55,24809.55,24629.39,24706.41,90597488
#2018-05-16#,24722.32,24801.19,24672.79,24768.93,79616480
#2018-05-17#,24752.4,24839.49,24639.4,24713.98,78499824
#2018-05-18#,24707.72,24774.97,24664.87,24715.09,83546264
#2018-05-21#,24883.06,25086.49,24883.06,25013.29,82238456
#2018-05-22#,25047.55,25064.99,24812.06,24834.41,78551248
#2018-05-23#,24757.71,24889.46,24667.12,24886.81,113460968
#2018-05-24#,24877.36,24877.36,24605.9,24811.76,93473176
#2018-05-25#,24781.29,24824.22,24687.81,24753.09,72276784
#2018-05-28#,24781.29,24824.22,24687.81,24753.09,72276784
#2018-05-29#,24606.59,24635.18,24247.84,24361.45,120239544
#2018-05-30#,24467.83,24714.48,24459.09,24667.78,92479664
#2018-05-31#,24620.79,24620.79,24352.15,24415.84,164426800
#2018-06-01#,24542.09,24673.6,24542.09,24635.21,85411824
#2018-06-04#,24727.55,24859.37,24722.14,24813.69,84598568
#2018-06-05#,24820.12,24838.78,24710.82,24799.98,83885136
#2018-06-06#,24854.14,25146.46,24854.14,25146.39,96312176
#2018-06-07#,25192.14,25326.09,25164.48,25241.41,99047192
#2018-06-08#,25209.29,25325.63,25165.7,25316.53,97049840
#2018-06-11#,25336.67,25402.83,25290.2,25322.31,81032704
#2018-06-12#,25346.82,25364.37,25247.04,25320.73,77569952
#2018-06-13#,25328.65,25362.07,25191.42,25201.2,100789752
#2018-06-14#,25254.65,25332.5,25138.6,25175.31,101281872
#2018-06-15#,25116.71,25130.82,24894.38,25090.48,355028704
#2018-06-18#,24944.28,25003.1,24825.77,24987.47,96108576
#2018-06-19#,24763.59,24763.59,24567.75,24700.21,109265488
#2018-06-20#,24771.17,24804.76,24628.39,24657.8,93342040
#2018-06-21#,24639.21,24639.21,24406.63,24461.7,91374648
#2018-06-22#,24526.97,24663.18,24526.97,24580.89,187244800
#2018-06-25#,24463.73,24463.73,24084.39,24252.8,126964144
#2018-06-26#,24281.89,24384.21,24241.22,24283.11,124971928
