"Date","Open","High","Low","Close","Volume"
#2019-01-01#,45.34,45.82,45.055,45.7,7388314
#2019-01-02#,45.22,46.39,45.05,46.35,8155534
#2019-01-03#,46.2,46.44,45.64,45.7,8141075
#2019-01-04#,46.44,47.13,46.15,46.83,7725319
#2019-01-07#,46.66,47.1,46.46,46.61,5926981
#2019-01-08#,47.01,47.16,46.24,46.91,6654410
#2019-01-09#,47.02,47.5,46.69,47.41,7765077
#2019-01-10#,47.31,47.59,46.86,47.31,8050864
#2019-01-11#,47.1,47.55,46.76,47.44,5196089
#2019-01-14#,47.15,47.9,46.88,47.79,8209610
#2019-01-15#,47.61,48.19,47.28,47.97,7676647
#2019-01-16#,48.26,49.49,48.16,49.11,9913521
#2019-01-17#,48.97,50,48.97,49.75,11787183
#2019-01-18#,50.11,50.4,49.59,50.22,10014101
#2019-01-21#,50.11,50.4,49.59,50.22,10014101
#2019-01-22#,49.95,50.395,49.88,50.14,10614810
#2019-01-23#,50.26,50.67,49.9901,50.53,7785087
#2019-01-24#,50.34,51.02,50.29,50.89,5654805
#2019-01-25#,51.35,51.63,51.07,51.37,6646692
#2019-01-28#,50.91,51.31,50.815,51.27,5207004
#2019-01-29#,51.18,51.495,50.86,51.05,5105391
#2019-01-30#,51,51.43,50.81,51.04,5451194
#2019-01-31#,50.71,51.33,50.5,51.16,9033536
#2019-02-01#,51.26,51.605,51.01,51.29,4597093
#2019-02-04#,51.21,51.57,50.985,51.57,4013422
#2019-02-05#,51.61,51.65,51.05,51.48,5483159
#2019-02-06#,51.39,51.79,51.22,51.44,4898764
#2019-02-07#,51.55,52,50.54,50.95,10708321
#2019-02-08#,50.81,51,49.94,50.58,8917965
#2019-02-11#,50.82,50.9,50.39,50.55,4797538
#2019-02-12#,51.01,51.44,50.925,51.21,7526054
#2019-02-13#,51.22,51.455,50.88,50.91,5075425
#2019-02-14#,50.51,50.695,50.12,50.46,5507856
#2019-02-15#,50.95,51.36,50.76,51.31,7757334
#2019-02-18#,50.95,51.36,50.76,51.31,7757334
#2019-02-19#,51.05,51.56,50.845,51.31,7179319
#2019-02-20#,51.31,51.65,51.05,51.6,7722931
#2019-02-21#,51.53,51.55,50.92,51.05,6145663
#2019-02-22#,51.21,51.34,50.95,51.28,4959537
#2019-02-25#,51.57,52.19,51.52,51.61,6154398
#2019-02-26#,51.41,51.81,51.14,51.3,4823313
#2019-02-27#,51.32,51.58,51.17,51.54,3838019
#2019-02-28#,51.61,51.72,51.44,51.69,5808848
#2019-03-01#,52.12,52.3916,51.48,51.72,5734939
#2019-03-04#,51.91,52.315,51.1,51.67,4610953
#2019-03-05#,51.67,51.71,51.08,51.54,4416041
#2019-03-06#,51.4,51.62,50.98,51.1,4345713
#2019-03-07#,51,51.06,50.37,50.68,4048869
#2019-03-08#,50.29,50.91,50.25,50.87,4024528
#2019-03-11#,51.07,51.49,51,51.46,5558433
#2019-03-12#,51.61,51.63,50.94,51.05,6531506
#2019-03-13#,51.2,51.705,50.94,51.58,5111758
#2019-03-14#,51.73,52.0667,51.49,51.71,3595536
#2019-03-15#,51.94,52.13,51.63,52.07,9076513
#2019-03-18#,52.26,52.65,52.18,52.45,7244582
#2019-03-19#,52.78,52.96,51.82,51.93,5645485
#2019-03-20#,51.85,51.91,50.33,50.37,6540184
#2019-03-21#,50.02,50.18,49.35,49.66,8488682
#2019-03-22#,49.28,49.38,48.085,48.28,8290625
#2019-03-25#,48.4,48.8,47.82,48.1,6279893
#2019-03-26#,48.31,48.865,48.13,48.51,7670324
#2019-03-27#,48.35,48.43,47.96,48.13,7039052
#2019-03-28#,48.01,48.29,47.5699,48.04,5147262
#2019-03-29#,48.44,48.52,47.87,48.19,8608298
